,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Busselton,4,AU,1567726017,68,-33.64,115.35,34.66,12.55
1,Ushuaia,20,AR,1567725730,69,-54.81,-68.31,37.4,17.22
2,Vila Velha,40,BR,1567725829,78,-3.71,-38.6,79.12,9.17
3,Hervey Bay,0,AU,1567725902,82,-25.3,152.85,72.77,9.17
4,Ancud,20,CL,1567726018,70,-41.87,-73.83,46.4,4.7
6,Klaksvik,100,FO,1567726018,93,62.23,-6.59,48.2,2.24
7,Mar del Plata,97,AR,1567726018,79,-46.43,-67.52,39.11,9.64
8,Lyuban,1,BY,1567726018,76,52.8,28,53.51,4.32
10,Castro,20,CL,1567726018,70,-42.48,-73.76,46.4,4.7
12,Yellowknife,75,CA,1567726019,81,62.45,-114.38,51.33,9.17
13,Punta Arenas,0,CL,1567726019,80,-53.16,-70.91,39.25,6.93
14,Norman Wells,75,CA,1567726019,71,65.28,-126.83,57.2,13.87
15,Victoria,75,BN,1567725925,94,5.28,115.24,78.76,5.5
16,Bluff,0,AU,1567726019,15,-23.58,149.07,78.89,7.78
18,Luderitz,0,NA,1567726019,35,-26.65,15.16,71.6,12.75
19,Konya,0,TR,1567726020,40,37.87,32.48,68,5.82
20,Mason City,40,US,1567725924,58,43.15,-93.2,79.43,13.87
21,Basco,40,US,1567726020,65,40.33,-91.2,77.81,6.93
22,Cape Town,0,ZA,1567726020,71,-33.93,18.42,57.43,8.05
23,Inirida,60,CO,1567726020,80,3.87,-67.92,77.27,1.66
24,Chokurdakh,100,RU,1567726020,72,70.62,147.9,38.57,4.61
25,Jhelum,0,PK,1567726020,75,32.94,73.72,80.69,7.76
26,Lukovetskiy,40,RU,1567726020,93,64.29,41.92,51.8,8.95
27,Mataura,94,NZ,1567726021,78,-46.19,168.86,48,11.01
28,Jamestown,87,AU,1567725932,85,-33.21,138.6,49.73,22.12
29,Deputatskiy,68,RU,1567726021,60,69.3,139.9,42.71,2.82
30,Clyde River,75,CA,1567726021,86,70.47,-68.59,41,1.07
31,Rikitea,100,PF,1567726021,78,-23.12,-134.97,68.63,16.71
32,Port Hardy,75,CA,1567726021,82,50.7,-127.42,59,3.36
33,Caravelas,0,BR,1567726022,78,-17.73,-39.27,74.75,9.62
34,Puerto Ayora,0,EC,1567726022,65,-0.74,-90.35,73.56,23.04
35,Mlimba,14,TZ,1567726022,68,-8.78,35.81,64.31,1.52
36,Ekhabi,5,RU,1567726022,74,53.51,142.97,59.27,13.49
37,Albany,75,US,1567725746,56,42.65,-73.75,62.78,4.7
38,Arlit,48,NE,1567726022,33,18.74,7.39,92.39,15.59
39,Torbay,90,CA,1567726022,88,47.66,-52.73,66.34,9.17
